,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ilebo,100,CD,1570678114,98,-4.33,20.59,69.28,2.15
1,mataura,100,NZ,1570678115,94,-46.19,168.86,46.99,10
2,waddan,4,LY,1570678115,76,29.16,16.14,66.36,7.72
3,saskylakh,93,RU,1570678115,94,71.97,114.09,12.47,13.44
4,rikitea,100,PF,1570678116,60,-23.12,-134.97,69.15,9.56
5,punta arenas,40,CL,1570678117,80,-53.16,-70.91,35.6,29.97
6,karaton,20,ID,1570678118,58,-6.34,106.1,87.8,4.7
7,avarua,100,CK,1570678119,83,-21.21,-159.78,69.8,11.41
8,cidreira,0,BR,1570678119,89,-30.17,-50.22,67.12,18.65
9,erhlin,,,,,,,,
10,taolanaro,,,,,,,,
11,meulaboh,100,ID,1570678119,77,4.14,96.13,79.47,5.4
12,busselton,10,AU,1570678112,42,-33.64,115.35,75.99,9.51
13,senneterre,1,CA,1570678120,75,48.39,-77.24,44.6,4.7
14,corinto,40,CO,1570678120,83,3.17,-76.26,69.8,4.7
15,jamestown,52,AU,1570678120,23,-33.21,138.6,69.6,4.87
16,nizhneyansk,,,,,,,,
17,ribeira grande,71,PT,1570678120,68,38.52,-28.7,62.8,4
18,castro,75,CL,1570678121,100,-42.48,-73.76,50,9.17
19,tillabery,,,,,,,,
20,kodiak,90,US,1570678121,72,39.95,-94.76,62.6,6.93
21,piney green,90,US,1570678121,77,35.09,-78.48,66.99,5.82
22,mount gambier,90,AU,1570678121,71,-37.83,140.78,53.6,9.17
23,mrirt,,,,,,,,
24,qaanaaq,100,GL,1570678122,93,77.48,-69.36,24.21,13.05
25,vaini,20,IN,1570678122,83,15.34,74.49,75.2,3.21
26,kapaa,20,US,1570678122,69,22.08,-159.32,82.4,9.17
27,tsihombe,,,,,,,,
28,ushuaia,75,AR,1570678122,74,-54.81,-68.31,37.4,12.75
29,ziro,90,IN,1570678122,100,27.54,93.82,75.2,5.82
30,kabalo,100,CD,1570678123,91,-6.05,26.92,69.98,3.05
31,sinnar,2,IN,1570678123,67,19.85,74,75.06,6.42
32,chokurdakh,0,RU,1570678124,84,70.62,147.9,9.34,3.5
33,aykhal,90,RU,1570678125,79,65.95,111.51,19.4,15.66
34,chuy,100,UY,1570678125,81,-33.69,-53.46,61.72,5.91
35,lompoc,40,US,1570678125,81,34.64,-120.46,60.01,8.05
36,sorvag,,,,,,,,
37,hithadhoo,48,MV,1570678126,75,-0.6,73.08,82.47,10.52
38,barrow,0,AR,1570678128,61,-38.31,-60.23,46.89,9.1
39,yeppoon,75,AU,1570678128,50,-23.13,150.74,78.8,9.17
40,hermanus,0,ZA,1570678129,65,-34.42,19.24,51.01,3
41,carnarvon,0,ZA,1570678130,75,-30.97,22.13,37.62,19.03
42,port alfred,97,ZA,1570678131,96,-33.59,26.89,53.01,4
43,mys shmidta,,,,,,,,
44,kavieng,1,PG,1570678131,64,-2.57,150.8,85.15,1.51
45,faanui,70,PF,1570678132,81,-16.48,-151.75,75.79,18.2
46,albany,90,US,1570678133,66,42.65,-73.75,54,1.7
47,oranjemund,42,ZA,1570678133,57,-28.55,16.43,49.96,7.99
48,hobart,40,AU,1570678134,62,-42.88,147.33,57,17.22
49,hambantota,90,LK,1570678134,100,6.12,81.12,75.2,1.12
50,aklavik,20,CA,1570678134,69,68.22,-135.01,33.8,4.7
51,yaounde,20,CM,1570678134,100,3.87,11.52,68,2.24
52,cape town,0,ZA,1570678134,62,-33.93,18.42,55,18.34
53,illoqqortoormiut,,,,,,,,
54,kruisfontein,10,ZA,1570678135,88,-34,24.73,45.99,4.51
55,esperance,0,AU,1570678135,37,-33.86,121.89,82.4,10.29
56,verkhovyna,100,UA,1570678136,65,48.15,24.83,49.21,13.49
57,bloomsburg,90,US,1570678136,66,41,-76.45,54,3.57
58,atuona,82,PF,1570678138,73,-9.8,-139.03,78.55,3.81
59,norman wells,75,CA,1570678140,98,65.28,-126.83,33.8,4.7
60,khatanga,31,RU,1570678141,86,71.98,102.47,16.11,10.96
61,fairbanks,90,US,1570678142,100,64.84,-147.72,41,3.36
62,komsomolskiy,100,RU,1570678143,93,67.55,63.78,34.25,7.64
63,barawe,,,,,,,,
64,torbay,20,CA,1570678145,93,47.66,-52.73,42.01,9.17
65,wielun,74,PL,1570678145,100,51.22,18.57,45,14.45
66,zorgo,,,,,,,,
67,port elizabeth,90,US,1570678145,93,39.31,-74.98,57,10.29
68,victoria,75,BN,1570678145,83,5.28,115.24,84.2,6.93
69,tasiilaq,95,GL,1570678146,80,65.61,-37.64,35.6,3.36
70,buraydah,2,SA,1570678146,60,26.33,43.97,73.4,5.82
71,san luis,33,AR,1570678146,52,-33.3,-66.34,72.79,15.13
72,sao jose da coroa grande,0,BR,1570678146,72,-8.9,-35.15,77.99,15.47
73,egvekinot,0,RU,1570678147,69,66.32,-179.17,18.54,3.01
74,port blair,10,IN,1570678147,69,11.67,92.75,83.41,4.09
75,vaitupu,,,,,,,,
76,henties bay,0,NA,1570678148,90,-22.12,14.28,52.3,7.6
77,tuktoyaktuk,40,CA,1570678149,81,69.44,-133.03,32,5.82
78,la baule-escoublac,75,FR,1570678151,87,47.28,-2.4,59,10.29
79,we,,,,,,,,
80,sidi ali,93,DZ,1570678152,64,36.1,0.42,65.08,1.48
81,mattru,100,SL,1570678153,97,7.62,-11.83,72.39,2.44
82,hilo,40,US,1570678154,83,19.71,-155.08,78.8,5.82
83,barentsburg,,,,,,,,
84,hajan,93,YE,1570678156,58,14.68,44.13,66.34,4.21
85,pevek,100,RU,1570678156,83,69.7,170.27,26.8,12.49
86,nikolskoye,90,RU,1570678157,93,59.7,30.79,41,6.71
87,salalah,20,OM,1570678158,78,17.01,54.1,78.8,4.7
88,camopi,1,GF,1570678160,89,3.17,-52.33,72.64,3.29
89,dzhusaly,,,,,,,,
90,klaksvik,100,FO,1570678162,93,62.23,-6.59,46.4,28.86
91,alotau,,,,,,,,
